Property Name,Portfolio Manager ID,Street Address,Street Address 2,City/Municipality,State/Province,Other State/Province,Postal Code,Country,Year Built,Self-Selected Primary Function,Construction Status,Gross Floor Area,GFA Units,Occupancy (%),Number of Buildings,How Many Buildings?,Parent Property Name (if Applicable),Parent Property ID,Is this Property Owned or Operated by the US or Canadian Federal Government?,Federal Agency/Department
CO0652AA - Bldg 21B,3688460,W 6TH Ave and Kipling ST,,Lakewood,Colorado,,80225,United States,1986,Office,Existing,5906,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0654AA - Bldg 710A,3237273,W 6th Ave and Kipling St,,Lakewood,Colorado,,80225,United States,1985,Office,Existing,55599,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0657AA - Bldg 720,3237275,W 6th Ave and Kipling St,,Lakewood,Colorado,,80225,United States,1985,Office,Existing,17410,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0659AA - Bldg 95,3222578,W 6th Ave and Kipling St,,Lakewood,Colorado,,80225,United States,1999,Office,Existing,112747,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0660AA - Bldg 94,3222552,W 6th Ave and Kipling St,,Lakewood,Colorado,,80225,United States,1992,Non-Refrigerated Warehouse,Existing,21191,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0661AA - Bldg 74A,3222517,W 6th Ave and Kipling St,,Lakewood,Colorado,,80225,United States,1991,Non-Refrigerated Warehouse,Existing,2610,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0663AA - Bldg 85A,3237279,W 6th Ave and Kipling St,,Lakewood,Colorado,,80225,United States,2002,Office,Existing,15417,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CT0013ZZ - W.R COTTER FED BLDG,902,135 HIGH STREET,,HARTFORD,Connecticut,,06103,United States,1933,Office,Existing,183507,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CT0024ZZ - NEW HAVEN COURTHOUSE,903,CHURCH AND COURT STREET,,NEW HAVEN,Connecticut,,06510,United States,1919,Courthouse,Existing,142659,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CT0053ZZ - AA RIBICOFF FB &CTHS,904,450 MAIN ST,,HARTFORD,Connecticut,,06103,United States,1963,Office,Existing,360959,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,915 LAFAYETTE BLVD,,BRIDGEPORT,Connecticut,,06604,United States,1967,Courthouse,Existing,130925,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CT0060ZZ - SSA TORRINGTON,906,LITCHFIELD ST,,TORRINGTON,Connecticut,,06790,United States,1969,Office,Existing,5683,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CT0061ZZ - RN GIAIMO FED BLDG,907,150 COURT STREET,,NEW HAVEN,Connecticut,,06510,United States,1977,Office,Existing,176062,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
"DC0000AB - EPA EAST, WEST, CW",2629932,12TH & CONST AVE NW,,WASHINGTON D C,District of Columbia (D.C.),,20004,United States,1934,Office,Existing,1213119,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0000AC - NAVY HILL COMPLEX,2629933,2430 E ST NW,,WASHINGTON D C,District of Columbia (D.C.),,200372851,United States,1904,Office,Existing,251650,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0000BE - POT ANX 1,2999301,23RD & E STREETS NW,,WASHINGTON D C,District of Columbia (D.C.),,20372,United States,1900,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0000NA - NEBRASKA AVE COMPLEX,2999302,NEBRASKA AVENUE COMPLEX,,WASHINGTON DC,District of Columbia (D.C.),,20016,United States,1942,Other,Existing,567321,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0000SE - ST ELIZABETH WEST CAMPUS,2629934,2700 MARTIN LUTHER KING,,WASHINGTON DC,District of Columbia (D.C.),,200362601,United States,2006,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0001ZZ - CENTRAL HTG PLNT STM,2629935,13TH & C STS  SW,,WASHINGTON D C,District of Columbia (D.C.),,204070001,United States,1933,Office,Existing,271965,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0007ZZ - VETERANS ADMINISTRAT,1670098,810 VERMONT AVE NW,,WASHINGTON D C,District of Columbia (D.C.),,20420,United States,1919,Office,Existing,684711,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0010ZZ - LYNDON B JOHNSON BLD,1675799,FOURTH AND C STS SW,,WASHINGTON D C,District of Columbia (D.C.),,20202,United States,1959,Office,Existing,607259,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0014PB - E B PRETTYMAN COURTH,913,CONSTITUTION AND J MARS,,WASHINGTON,District of Columbia (D.C.),,20001,United States,1952,Courthouse,Existing,602536,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0017ZZ - WHITE HOUSE,2629937,1600 PA AVE NW,,WASHINGTON D C,District of Columbia (D.C.),,200050003,United States,1902,Office,Existing,28200,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0021ZZ-GSA ADMIN BLDG,2629938,18TH AND F STS NW,,WASHINGTON D C,District of Columbia (D.C.),,20405,United States,1917,Office,Existing,813649,Sq. Ft.,100,One,1,,,Yes,Other
DC0026ZZ - LAFAYETTE BUILDING,1670156,811 VERMONT AVE NW,,WASHINGTON D C,District of Columbia (D.C.),,20009,United States,1940,Office,Existing,684488,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0027ZZ-REMOTE DELIVERY FACILITY,2999303,2701 S. CAPITAL ST.,,WASHINGTON DC,District of Columbia (D.C.),,20373,United States,2010,Office,Existing,109993,Sq. Ft.,100,One,1,,,Yes,Other
DC0028ZZ - ARIEL RIOS FED BLDG,1671354,12TH & PENN AVE NW,,WASHINGTON D C,District of Columbia (D.C.),,20004,United States,1934,Office,Existing,885811,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0029ZZ - POST OFFICE OLD,1671362,"1100 PENN AVE, NW",,WASHINGTON D C,District of Columbia (D.C.),,20001,United States,1899,Office,Existing,392082,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0030ZZ-NATIONAL BLDG MUSEUM,1635653,5TH && F STREETS  NW,,WASHINGTON D C,District of Columbia (D.C.),,20001,United States,1985,Office,Existing,260226,Sq. Ft.,100,None,0,,,Yes,Other
DC0031ZZ - ROB,1212177,7TH && D STREETS SW,,WASHINGTON D C,District of Columbia (D.C.),,20407,United States,1932,Office,Existing,920264,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0033ZZ - MARY E SWITZER BLDG,920,330 C STREET SW,,WASHINGTON D C,District of Columbia (D.C.),,20230,United States,1940,Office,Existing,600921,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0034ZZ - WILBUR J COHEN BLDG,1675956,330 INDEP AVE SW,,WASHINGTON D C,District of Columbia (D.C.),,20201,United States,1940,Office,Existing,1176918,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0035ZZ-EISENHOWER EXC BLDG,1671499,17TH AND PA AVE NW,,WASHINGTON D C,District of Columbia (D.C.),,20506,United States,1973,Office,Existing,697307,Sq. Ft.,100,One,1,,,Yes,Other
DC0048ZZ - WINDER,2629939,600 17TH STREET,,WASHINGTON D C,District of Columbia (D.C.),,200064801,United States,1854,Office,Existing,81093,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0053ZZ - 49 L  ST WAREHOUSE,1669745,49 L STREET SE,,WASHINGTON D C,District of Columbia (D.C.),,20003,United States,1924,Office,Existing,37535,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0078ZZ - CIVIL SERVICE BLDG,2629940,1724 F STREET NW,,WASHINGTON D C,District of Columbia (D.C.),,200060001,United States,1920,Office,Existing,53580,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0083ZZ - ORVILLE WRIGHT BLDG,1675972,800 INDEPENDENCE AVE,,WASHINGTON D C,District of Columbia (D.C.),,20591,United States,1963,Office,Existing,1114224,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0084ZZ-WILBER WRIGHT BLDG,1676024,600 INDEPENDENCE SW,,WASHINGTON D C,District of Columbia (D.C.),,20003,United States,1973,Office,Existing,421319,Sq. Ft.,100,One,1,,,Yes,Other
DC0086ZZ - FOB 8,1669798,SECOND  C STS SW,,WASHINGTON D C,District of Columbia (D.C.),,20024,United States,1965,Office,Existing,390829,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0094ZZ - MARKEY NATIONAL CT,1687185,717 MADISON PLACE NW,,WASHINGTON D C,District of Columbia (D.C.),,20005,United States,1967,Office,Existing,198451,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0105ZZ - NEW EXECUTIVE OFFICE,1671513,725 17TH STREET N W,,WASHINGTON D C,District of Columbia (D.C.),,20006,United States,1966,Office,Existing,409266,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0111ZZ - DOLLEY MADISON HOUSE,1687187,1520 H STREET NW,,WASHINGTON D C,District of Columbia (D.C.),,20005,United States,1820,Office,Existing,15158,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0112ZZ - TAYLOE HOUSE,1687191,721 MADISON PLACE NW,,WASHINGTON D C,District of Columbia (D.C.),,20005,United States,1828,Office,Existing,12553,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0113ZZ - COSMOS CLUB BLDG,1687196,725 MADISON PLACE NW,,WASHINGTON D C,District of Columbia (D.C.),,20005,United States,1928,Office,Existing,14972,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0114ZZ - TAX COURT,1687199,"400 2ND STREET, NW",,WASHINGTON D C,District of Columbia (D.C.),,20217,United States,1974,Courthouse,Existing,229922,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0313ZZ - JUDICIARY SQUARE,1687200,"633 THIRD STREET,NW",,WASHINGTON D C,District of Columbia (D.C.),,20001,United States,1984,Office,Existing,128706,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0321ZZ - JUDICIARY CENTER,2999304,"555 4TH STREET, NW",,WASHINGTON D C,District of Columbia (D.C.),,20001,United States,2002,Office,Existing,335372,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0400ZZ-DIST HEATING TUNNELS,4005570,301 13TH ST SW,,WASHINGTON DC,District of Columbia (D.C.),,20003,United States,2014,Office,Existing,240240,Sq. Ft.,100,One,1,,,Yes,Other
DC0459AF - REAGAN BLDG FOB,2629941,1300 PENN AVE NW,,WASHINGTON D C,District of Columbia (D.C.),,200023002,United States,1996,Office,Existing,3360676,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
"DC0463ZZ - 601 - 4TH ST, NW",2629942,"601 - 4TH ST, NW",,WASHINGTON D C,District of Columbia (D.C.),,200372605,United States,1997,Office,Existing,387591,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0501BC - SIDNEY YATES,1687203,201 14TH ST SW,,WASHINGTO DC,District of Columbia (D.C.),,20002,United States,1879,Office,Existing,159329,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0505ZZ - US SECRET SERV HDQTR,1671392,930 H ST NW,,WASHINGTON DC,District of Columbia (D.C.),,20001,United States,1999,Office,Existing,692023,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0566ZZ - ATF HEADQUARTERS,1671430,1 ST & NEW YORK AVE.,,WASHINGTON DC,District of Columbia (D.C.),,20548,United States,1900,Office,Existing,301662,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0573PB - WILLIAM BRYANT ANNEX,1687207,333 CONSTITUTION AVE NW,,WASHINGTON DC,District of Columbia (D.C.),,20001,United States,1952,Courthouse,Existing,395987,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
DC0720ZZ-USSS,4185087,940 H STREET NW,,WASHINGTON DC,District of Columbia (D.C.),,20002,United States,2012,Office,Existing,27000,Sq. Ft.,100,One,1,,,Yes,Other
DE0016ZZ - JC BOGGS FED BLD & CTHSE,2474693,844 N KING STREET,,WILMINGTON,Delaware,,19801,United States,1973,Courthouse,Existing,202615,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0000AC - ROGERS FED BLDG COURTHSE,2341837,801 CLEMATIS STREET,,WEST PALM BEACH,Florida,,33401,United States,1972,Courthouse,Existing,176451,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0000AD - DW DYER FED BLDG & CRTHSE,2341424,301 NORTH MIAMI AVENUE,,MIAMI,Florida,,33128,United States,1933,Courthouse,Existing,365765,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0000AE - TIMBERLAKE FB ANNEX,2629944,501 EAST POLK STREET,,TAMPA,Florida,,336023949,United States,1989,Office,Existing,306402,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0002AE - TIMBERLAKE FED ANNEX,1867227,501 East Polk,,Tampa,Florida,,33062,United States,1988,Office,Existing,129502,Sq. Ft.,100,One,1,,,No,
FL0004ZZ - TALLAHASSEE CT ANNEX,2629945,145 N ADAMS STREET,,TALLAHASSEE,Florida,,323017736,United States,2000,Office,Existing,169758,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0009ZZ - FT MEYERS FB & CTHSE,1867886,2110 1ST ST,,FT MYERS,Florida,,33901,United States,1998,Courthouse,Existing,163365,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0010ZZ - WD FERGUSON COURTHOUSE,2339944,400 NORTH MIAMI AVENUE,,MIAMI,Florida,,33128,United States,2007,Office,Existing,546513,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
FL0012ZZ - GIBBONS US COURTHOUSE,2629946,801 N FLORIDA AVENUE,,TAMPA,Florida,,336023849,United States,1998,Courthouse,Existing,432178,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0017ZZ - SIMPSON US COURTHOUSE,2629947,300 NORTH HOGAN STREET,,JACKSONVILLE,Florida,,322024298,United States,2002,Courthouse,Existing,491710,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0019ZZ - ARONOVITZ COURTHSE-PO-CU,2341905,301 SIMONTON STREET,,KEY WEST,Florida,,33040,United States,1931,Courthouse,Existing,54725,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0025ZZ - ORLANDO COURTHOUSE ANNEX,2629948,401 W CENTRAL BOULEVARD,,ORLANDO,Florida,,328010401,United States,2007,Office,Existing,474551,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0030ZZ - FT PIERCE FB COURTHOUSE,3264360,101 S US HIGHWAY 1,,FT PIERCE,Florida,,34950,United States,2011,Courthouse,Existing,146606,Sq. Ft.,100,One,1,,,No,
FL0033ZZ-DEPT OF JUSTICE,4428014,2030 SW 145TH AVE,,MIRAMAR,Florida,,33027,United States,2015,Office,Existing,606121,Sq. Ft.,100,One,1,,,Yes,Other
FL0039ZZ - WE ARNOW US COURTHOUSE,2629949,100 PALAFOX STREET,,PENSACOLA,Florida,,325024839,United States,1939,Courthouse,Existing,59872,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0049ZZ - TALLAHASSEE US COURTHOUSE,2629950,110 EAST PARK AVENUE,,TALLAHASSEE,Florida,,323017750,United States,1937,Courthouse,Existing,46521,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0057ZZ - GOLDEN-COLLUM FED BLD CTH,2629951,207 N W 2ND STREET,,OCALA,Florida,,344756603,United States,1961,Courthouse,Existing,68942,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0061ZZ - PEPPER FEDERAL BUILDING,2341092,51 SW FIRST AVENUE,,MIAMI,Florida,,33130,United States,1964,Office,Existing,292346,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0064AE - R L TIMBERLAKE JR FB,1867295,500 Zack Street,,Tampa,Florida,,33602,United States,1964,Office,Existing,114730,Sq. Ft.,100,One,1,,,No,
FL0065ZZ - GAINESVILLE FED BLD CHTHS,1877042,401 SE 1ST AVENE,,GAINESVILLE,Florida,,32801,United States,1964,Courthouse,Existing,105697,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0067ZZ - BENNETT FEDERAL BLDG,2629952,400 W BAY STREET,,JACKSONVILLE,Florida,,32202,United States,1967,Office,Existing,334196,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0079ZZ - BRICKELL PLAZA FED BLDG,2341492,909 SE FIRST AVENUE,,MIAMI,Florida,,33131,United States,1971,Office,Existing,263155,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL0082ZZ - YOUNG FED BLDG & CTHSE,2999305,80 N HUGHEY AVENUE,,ORLANDO,Florida,,32801,United States,1975,Office,Existing,208647,Sq. Ft.,90,One,1,,,Yes,General Services Administration (GSA)
FL0089ZZ - FT LAUDERDALE FB &&CT,2342009,299 EAST BROWARD BLVD,,FT LAUDERDALE,Florida,,33301,United States,1978,Office,Existing,225233,Sq. Ft.,90,One,1,,,Yes,General Services Administration (GSA)
FL1021ZZ - KING FED JUSTICE BLG,2341538,99 NE FOURTH ST,,MIAMI,Florida,,33101,United States,1993,Courthouse,Existing,318467,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
FL2245ZZ - PENSACOLA COURTHOUSE (LEASED),1877094,100 Palafox Street,,Pensacola,Florida,,32502,United States,1999,Courthouse,Existing,92748,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0000AB - THOMASVILLE FED CENTER,2629953,404 PINETREE BOULEVARD,,THOMASVILLE,Georgia,,314944410,United States,1994,Office,Existing,105661,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0000AC - JULIETTE G LOW FED BLDG,2629954,100 W. OGLETHORPE,,SAVANNAH,Georgia,,314013604,United States,1985,Office,Existing,282321,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0005ZZ - ATHENS COURTHOUSE & PO,2629956,115 HANCOCK AVENUE,,ATHENS,Georgia,,306014747,United States,1942,Courthouse,Existing,42856,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0007ZZ - ML KING JR FEDERAL BLDG,2629957,"77 FORSYTH STREET, SW",,ATLANTA,Georgia,,303033458,United States,1934,Office,Existing,361331,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0008ZZ - US COURT OF APPEALS,2629958,56 FORSYTH STREET,,ATLANTA,Georgia,,303032289,United States,1910,Courthouse,Existing,202069,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0009ZZ - AUGUSTA US COURTHOUSE,2629959,500 FORD STREET EAST,,AUGUSTA,Georgia,,309030000,United States,1916,Courthouse,Existing,57472,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0010AE - CHAMBLEE TUCKER ANNEX,1923066,2385 CHAMBLEE TUCKER,,ATLANTA,Georgia,,30341,United States,1999,Office,Existing,417149,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0012ZZ-KING US COURTHOUSE,2629960,ALBANY CT,,ALBANY,Georgia,,31702,United States,2002,Office,Existing,82448,Sq. Ft.,100,One,1,,,Yes,Other
GA0025ZZ - COLUMBUS PO & CRTHSE,2629961,12TH & 2ND AVE,,COLUMBUS,Georgia,,319020000,United States,1934,Courthouse,Existing,60002,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0030ZZ - EP TUTTLE US COURTHOUSE,2629962,70 FAIRLIE STREET,,ATLANTA,Georgia,,303030000,United States,2010,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0036ZZ - ROWLAND FED BLDG & CTHSE,2629963,100 N FRANKLIN STREET,,DUBLIN,Georgia,,310216799,United States,1937,Courthouse,Existing,32149,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0044ZZ - GAINSVILLE FED BLDG CTHSE,986,126 WASHINGTON ST SE,,GAINESVILLE,Georgia,,30501,United States,1910,Office,Existing,51774,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0057ZZ - BOOTLE FED BLDG & CTHSE,2629964,475 MULBERRY STREET,,MACON,Georgia,,312023385,United States,1896,Courthouse,Existing,90398,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0076ZZ - SAVANNAH CUSTOMHOUSE,2629965,1-3 EAST BAY ST,,SAVANNAH,Georgia,,31402,United States,1852,Office,Existing,29403,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0078ZZ - TOMOCHICHI FED BLDG CTHSE,2629966,125 BULL STREET,,SAVANNAH,Georgia,,314023749,United States,1899,Courthouse,Existing,124080,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0087AD - PEACHTREE SUMMIT FED BLDG,2629955,401 W. PEACHTREE STREET,,ATLANTA,Georgia,,30308,United States,1975,Office,Existing,866217,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0103ZZ - SCARLETT FED BLDG,2629967,805 GLOUCESTER ST,,BRUNSWICK,Georgia,,315207073,United States,1959,Office,Existing,64531,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0112ZZ - THOMASVILLE FED BLD-PO-CT,992,404 N. BROAD STREET,,THOMASVILLE,Georgia,,31792,United States,1963,Office,Existing,52555,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0114ZZ - PH PRESTON FEDERAL BLDG,2629968,52 MAIN STREET,,STATESBORO,Georgia,,304581302,United States,1963,Office,Existing,32958,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0118ZZ - ROME FED BLDG-PO-CTHSE,995,600 EAST FIRST,,ROME,Georgia,,30161,United States,1974,Office,Existing,96116,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0121ZZ - R RUSSELL FED BLDG CTHSE,7371,75 SPRING STREET,,ATLANTA,Georgia,,30303,United States,1979,Office,Existing,1214280,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0125ZZ - MORGAN FED BLDG CTHSE PO,2629969,18 GREENVILLE STREET,,NEWNAN,Georgia,,302632602,United States,1968,Courthouse,Existing,53569,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0134ZZ - VALDOSTA FED BLD CTHSE PO,2629970,401 NORTH PATTERSON STREET,,VALDOSTA,Georgia,,316014627,United States,1969,Courthouse,Existing,97227,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA0138ZZ - STEPHENS FED BLDG,2629971,355 HANCOCK AVENUE,,ATHENS,Georgia,,306014743,United States,1974,Office,Existing,85045,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA1007ZZ - SAM NUNN ATLANTA FED CTR,13304,100 ALABAMA STREET SW,,ATLANTA,Georgia,,30303,United States,1997,Office,Existing,1924567,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
GA2243ZZ - CEDAR ST & POSTAL BL,3296550,295 POSTAL WAY,,CARROLLTON,Georgia,,30117,United States,1900,Other,Existing,0,Sq. Ft.,100,One,1,,,No,
GA2637ZZ - GNANN HOUSE,2629972,1 WOODLAND DR.,,PLAINS,Georgia,,317805466,United States,1925,Office,Existing,2024,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
HI0001ZZ - HILO FED BLD USPO & CTHSE,1279896,154 WAIANUENUE AVE,,HILO,Hawaii,,96720,United States,1917,Courthouse,Existing,50333,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
HI0002ZZ - US CUSTOM WAREHOUSE,1279486,29 KUHIO STREET,,HILO,Hawaii,,96720,United States,1941,Office,Existing,5948,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
HI0011ZZ - PRINCE KUHIO FED BLDG CTH,1279367,300 ALA MOANA BLVD,,HONOLULU,Hawaii,,96850,United States,1977,Office,Existing,760106,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IA0027ZZ - DAVENPORT U.S. COURTHOUSE,1375897,131 E 4TH ST,,DAVENPORT,Iowa,,52801,United States,1933,Courthouse,Existing,75086,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IA0030ZZ - DES MOINES U.S. COURTHOUSE,1341310,123 E WALNUT ST,,DES MOINES,Iowa,,50309,United States,1929,Courthouse,Existing,97470,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IA0087ZZ - SIOUX CITY CHFB,1341311,316 6TH STREET,,SIOUX CITY,Iowa,,51101,United States,1932,Courthouse,Existing,110805,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IA0112ZZ - NEAL SMITH FEDERAL BLDG,1331382,210 WALNUT STREET,,DES MOINES,Iowa,,50309,United States,1967,Office,Existing,405238,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IA0119ZZ - IOWA CITY FBPO,1375893,400 S CLINTON STREET,,IOWA CITY,Iowa,,52240,United States,1974,Office,Existing,98720,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IA0121ZZ - CEDAR RAPIDS CTHS,4139239,111 SEVENTH AVE. SE,,CEDAR RAPIDS,Iowa,,52401,United States,2012,Courthouse,Existing,306000,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ID0000EB - USBS EASTPORT,2629975,U S HIGHWAY 95,,EASTPORT,Idaho,,838269998,United States,1987,Other - Public Services,Existing,16144,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ID0000PB - USBS PORTHILL,2629976,US BORDER STATION,,PORTHILL,Idaho,,838539998,United States,1967,Other - Public Services,Existing,18622,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ID0025ZZ - MCCLURE FB-CTHS,20611,550 WEST FORT STREET,,BOISE,Idaho,,83724,United States,1967,Courthouse,Existing,274412,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ID0027ZZ - SSA LEWISTON,2629977,1617 19TH AVE,,LEWISTON,Idaho,,835014004,United States,1972,Office,Existing,8671,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0000CF - CHICAGO FARC,2410780,7358 SOUTH PULASKI,,CHICAGO,Illinois,,60629,United States,1973,Non-Refrigerated Warehouse,Existing,185581,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0000ES - MELVIN PRICE CTHOUSE,1165536,750 MISSOURI AVENUE,,EAST ST LOUIS,Illinois,,62201,United States,1910,Courthouse,Existing,136132,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0000FC - CHICAGO FEDERAL CTR,1608159,219 S DEARBORN,,CHICAGO,Illinois,,60604,United States,1973,Office,Existing,3177981,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0032ZZ - CHICAGO CUSTOMHOUSE,1154581,610 S CANAL STREET,,CHICAGO,Illinois,,60607,United States,1932,Office,Existing,279320,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
